# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_ur             14:(.)rho_crit           15:U                     16:U_prime               17:V                     18:V_prime               19:gr.fac. D             20:gr.fac. f          
       7.204683116158e+13       1.455615233291e-25       6.430127541535e-09       1.120338568980e+22       1.416699289572e+04       1.966358917847e-10       1.020686945225e+18       3.712829185506e-09       7.419203242731e+43       9.233376576752e+32       4.989102530656e+33       5.121581284350e+43       1.080056377833e+41       1.255158509145e+44       5.521052691599e-12       5.284105889817e-03       1.217051813894e-65       2.778921604701e-56       1.033882542058e-17       1.999999999978e+00 
       7.154600909790e+13       1.476065171703e-25       6.475602276623e-09       1.104816995018e+22       1.416699289572e+04       1.980123430272e-10       1.013591802607e+18       3.738818989805e-09       7.215050682352e+43       9.042158940183e+32       4.885781238972e+33       4.980651874792e+43       1.050336707448e+41       1.220620592480e+44       5.760704833464e-12       5.363119422841e-03       1.347142870199e-65       3.002903629399e-56       1.048407557892e-17       1.999999999977e+00 
       7.104866841896e+13       1.496802411300e-25       6.521077011712e-09       1.089510462530e+22       1.416699289572e+04       1.993984294284e-10       1.006545980742e+18       3.764990722733e-09       7.016515742429e+43       8.854901305054e+32       4.784599668662e+33       4.843600388355e+43       1.021434826603e+41       1.187033047962e+44       6.005591436003e-12       5.441040227787e-03       1.488612142256e-65       3.240845186461e-56       1.063136635672e-17       1.999999999977e+00 
       7.055478492449e+13       1.517830988377e-25       6.566551746801e-09       1.074415992255e+22       1.416699289572e+04       2.007942184344e-10       9.995491367845e+17       3.791345657792e-09       6.823443844155e+43       8.671521662133e+32       4.685513507390e+33       4.710320117093e+43       9.933282323655e+40       1.154369724413e+44       6.255724438890e-12       5.517880895877e-03       1.642264880140e-65       3.493411410539e-56       1.078072642267e-17       1.999999999976e+00 
       7.006433458242e+13       1.539154995932e-25       6.612026481889e-09       1.059530646206e+22       1.416699289572e+04       2.021997779635e-10       9.926009302726e+17       3.817885077396e-09       6.635684662230e+43       8.491939700550e+32       4.588479360505e+33       4.580707289320e+43       9.659950410106e+40       1.122605190250e+44       6.511116015787e-12       5.593656762388e-03       1.808952772942e-65       3.761292876602e-56       1.093218484818e-17       1.999999999976e+00 
       6.957729352772e+13       1.560778584470e-25       6.659320206381e-09       1.044851527102e+22       1.416699289572e+04       2.036151764092e-10       9.857010231108e+17       3.844610272938e-09       6.453092007824e+43       8.316076772625e+32       4.493454732031e+33       4.454660988812e+43       9.394139709840e+40       1.091714713688e+44       6.771778574701e-12       5.668384169053e-03       1.989576225500e-65       4.045206479593e-56       1.108577111311e-17       1.999999999975e+00 
       6.909363806129e+13       1.582705962803e-25       6.704794941470e-09       1.030375777800e+22       1.416699289572e+04       2.050404826441e-10       9.788490795539e+17       3.871522544848e-09       6.275523714753e+43       8.143855859423e+32       4.400398006061e+33       4.332083076234e+43       9.135643263311e+40       1.061674243477e+44       7.037724861608e-12       5.742075746688e-03       2.185086736439e-65       4.345896346446e-56       1.124151511147e-17       1.999999999975e+00 
       6.861334464875e+13       1.604941398874e-25       6.752088665962e-09       1.016100580741e+22       1.416699289572e+04       2.064757660226e-10       9.720447661906e+17       3.898623202662e-09       6.102841528786e+43       7.975201537026e+32       4.309268428524e+33       4.212878112728e+43       8.884259805829e+40       1.032460390183e+44       7.308967773185e-12       5.814746403573e-03       2.396489381809e-65       4.664134774336e-56       1.139944715727e-17       1.999999999974e+00 
       6.813638991932e+13       1.627489220587e-25       6.799382390454e-09       1.002023157403e+22       1.416699289572e+04       2.079210963847e-10       9.652877519271e+17       3.925913565080e-09       5.934911000004e+43       7.810039943497e+32       4.220026089343e+33       4.096953285609e+43       8.639793610862e+40       1.004050407972e+44       7.585520525193e-12       5.886410335019e-03       2.624845408542e-65       5.000723197744e-56       1.155959799038e-17       1.999999999974e+00 
       6.766275066466e+13       1.650353816647e-25       6.846676114947e-09       9.881407677572e+21       1.416699289572e+04       2.093765440594e-10       9.585777079713e+17       3.953394960035e-09       5.771601378117e+43       7.648298746537e+32       4.132631904956e+33       3.984218336094e+43       8.402054337641e+40       9.764221769038e+43       7.867396615204e-12       5.957082857943e-03       2.871274942443e-65       5.356493193249e-56       1.172199878255e-17       1.999999999973e+00 
       6.719240383780e+13       1.673539637417e-25       6.895788828842e-09       9.744507097363e+21       1.416699289572e+04       2.108421798678e-10       9.519143078166e+17       3.981068724755e-09       5.612785510661e+43       7.489907111806e+32       4.047047601197e+33       3.874585489033e+43       8.170856882961e+40       9.495541857056e+43       8.154609743177e-12       6.026774091881e-03       3.136959815584e-65       5.732307511847e-56       1.188668114344e-17       1.999999999973e+00 
       6.672532655193e+13       1.697051195783e-25       6.943082553335e-09       9.609503187089e+21       1.416699289572e+04       2.123180751269e-10       9.452972272260e+17       4.008936205828e-09       5.458339743996e+43       7.334795671897e+32       3.963235696532e+33       3.767969384565e+43       7.946021237060e+40       9.234255150268e+43       8.447173801351e-12       6.095499618663e-03       3.423146517715e-65       6.129061139296e-56       1.205367712682e-17       1.999999999972e+00 
