# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)rho_lambda         14:(.)rho_ur             15:(.)rho_crit           16:gr.fac. D             17:gr.fac. f          
       6.909363806129e+13       1.582706647254e-25       6.704794941470e-09       1.030375332208e+22       1.418607626259e+04       2.053166783605e-10       9.801676187973e+17       3.871524219112e-09       6.275523714753e+43       8.165876199737e+32       4.367367495590e+33       1.444027692078e+43       3.511370374088e-08       2.897181844877e+43       1.061673325223e+44       1.124152483440e-17       1.999999999975e+00 
       6.861334464875e+13       1.604942092941e-25       6.752088665962e-09       1.016100141323e+22       1.418607626259e+04       2.067538951091e-10       9.733541398186e+17       3.898624888645e-09       6.102841528786e+43       7.996765849429e+32       4.276921959919e+33       1.404292704243e+43       3.511370374088e-08       2.817460738423e+43       1.032459497196e+44       1.139945701680e-17       1.999999999975e+00 
       6.813638991932e+13       1.627489924405e-25       6.799382390454e-09       1.002022724072e+22       1.418607626259e+04       2.082011723748e-10       9.665880236530e+17       3.925915262865e-09       5.934911000004e+43       7.831157672051e+32       4.188349496513e+33       1.365651095203e+43       3.511370374088e-08       2.739933299869e+43       1.004049539557e+44       1.155960798842e-17       1.999999999974e+00 
       6.766275066466e+13       1.650354530353e-25       6.846676114947e-09       9.881403404298e+21       1.418607626259e+04       2.096585805815e-10       9.598689410655e+17       3.953396669705e-09       5.771601378117e+43       7.668979139723e+32       4.101611315178e+33       1.328072778698e+43       3.511370374088e-08       2.664539166546e+43       9.764213323848e+43       1.172200892105e-17       1.999999999974e+00 
       6.719240383780e+13       1.673540361149e-25       6.895788828842e-09       9.744502883293e+21       1.418607626259e+04       2.111261906455e-10       9.531965651098e+17       3.981070446393e-09       5.612785510661e+43       7.510159226574e+32       4.016669429044e+33       1.291528496344e+43       3.511370374088e-08       2.591219636768e+43       9.495533644250e+43       1.188669142438e-17       1.999999999973e+00 
       6.672532655193e+13       1.697051929683e-25       6.943082553335e-09       9.609499031402e+21       1.418607626259e+04       2.126040739800e-10       9.465705711120e+17       4.008937939517e-09       5.458339743996e+43       7.354628377635e+32       3.933486637926e+33       1.255989794855e+43       3.511370374088e-08       2.519917624133e+43       9.234247163452e+43       1.205368755220e-17       1.999999999973e+00 
       6.626149607938e+13       1.720893812243e-25       6.992195267230e-09       9.476365571490e+21       1.418607626259e+04       2.140923024979e-10       9.399906366554e+17       4.037000505094e-09       5.308143827036e+43       7.202318478377e+32       3.852026512031e+33       1.221429003886e+43       3.511370374088e-08       2.450577613073e+43       8.980150444452e+43       1.222302980862e-17       1.999999999972e+00 
       6.580088985043e+13       1.745070649411e-25       7.041307981126e-09       9.345076590472e+21       1.418607626259e+04       2.155909486154e-10       9.334564415644e+17       4.065259508629e-09       5.162080817613e+43       7.053162824885e+32       3.772253376006e+33       1.187819214491e+43       3.511370374088e-08       2.383145615627e+43       8.733045648179e+43       1.239475115440e-17       1.999999999972e+00 
       6.534348545226e+13       1.769587146964e-25       7.090420695022e-09       9.215606534274e+21       1.418607626259e+04       2.171000852557e-10       9.269676678892e+17       4.093716325189e-09       5.020036991434e+43       6.907096094637e+32       3.694132293312e+33       1.155134258173e+43       3.511370374088e-08       2.317569129410e+43       8.492740379455e+43       1.256888501336e-17       1.999999999971e+00 
       6.488926062786e+13       1.794448076792e-25       7.139533408917e-09       9.087930202855e+21       1.418607626259e+04       2.186197858525e-10       9.205239998900e+17       4.122372339465e-09       4.881901753529e+43       6.764054317906e+32       3.617629050925e+33       1.123348686505e+43       3.511370374088e-08       2.253797096734e+43       8.259047537197e+43       1.274546527891e-17       1.999999999971e+00 
       6.443819327494e+13       1.819658277823e-25       7.190465112217e-09       8.962022745308e+21       1.418607626259e+04       2.201501243534e-10       9.141251240218e+17       4.151228945841e-09       4.747567552147e+43       6.623974849735e+32       3.542710144353e+33       1.092437751322e+43       3.511370374088e-08       2.191779864853e+43       8.031785168742e+43       1.292452632061e-17       1.999999999970e+00 
       6.399026144483e+13       1.845222656968e-25       7.239577826113e-09       8.837859655017e+21       1.418607626259e+04       2.216911752239e-10       9.077707289194e+17       4.180287548461e-09       4.616929795014e+43       6.486796342509e+32       3.469342762960e+33       1.062377385445e+43       3.511370374088e-08       2.131469147306e+43       7.810776328177e+43       1.310610299089e-17       1.999999999970e+00 
       6.354544334144e+13       1.871146190075e-25       7.290509529412e-09       8.715416764888e+21       1.418607626259e+04       2.232430134505e-10       9.014605053817e+17       4.209549561300e-09       4.489886767898e+43       6.352458719083e+32       3.397494775600e+33       1.033144183950e+43       3.511370374088e-08       2.072817986318e+43       7.595848938569e+43       1.329023063180e-17       1.999999999969e+00 
       6.310371732019e+13       1.897433922899e-25       7.341441232711e-09       8.594670242651e+21       1.418607626259e+04       2.248057145446e-10       8.951941463572e+17       4.239016408229e-09       4.366339555416e+43       6.220903146475e+32       3.327134716542e+33       1.004715385939e+43       3.511370374088e-08       2.015780716242e+43       7.386835657991e+43       1.347694508195e-17       1.999999999969e+00 
       6.266506188699e+13       1.924090972082e-25       7.394191925414e-09       8.475596586213e+21       1.418607626259e+04       2.263793545465e-10       8.889713469287e+17       4.268689523086e-09       4.246191964015e+43       6.092072010097e+32       3.258231771692e+33       9.770688568194e+42       3.511370374088e-08       1.960312928001e+43       7.183573749222e+43       1.366628268340e-17       1.999999999969e+00 
       6.222945569711e+13       1.951122526149e-25       7.445123628713e-09       8.358172619089e+21       1.418607626259e+04       2.279640100283e-10       8.827918042986e+17       4.298570349748e-09       4.129350447082e+43       5.965908888524e+32       3.190755765098e+33       9.501830710739e+42       3.511370374088e-08       1.906371434514e+43       6.985904953048e+43       1.385828028882e-17       1.999999999968e+00 
       6.179687755423e+13       1.978533846518e-25       7.497874321416e-09       8.242375485889e+21       1.418607626259e+04       2.295597580985e-10       8.766552177742e+17       4.328660342196e-09       4.015724032103e+43       5.842358528787e+32       3.124677145733e+33       9.240370954964e+42       3.511370374088e-08       1.853914237069e+43       6.793675365038e+43       1.405297526859e-17       1.999999999968e+00 
       6.136730640936e+13       2.006330268528e-25       7.550625014119e-09       8.128182647871e+21       1.418607626259e+04       2.311666764052e-10       8.705612887529e+17       4.358960964591e-09       3.905224249834e+43       5.721366822170e+32       3.059966974554e+33       8.986105728956e+42       3.511370374088e-08       1.802900492622e+43       6.606735315715e+43       1.425040551814e-17       1.999999999967e+00 
       6.094072135984e+13       2.034517202470e-25       7.603375706822e-09       8.015571878550e+21       1.418607626259e+04       2.327848431400e-10       8.645097207079e+17       4.389473691342e-09       3.797765065421e+43       5.602880780516e+32       2.996596911827e+33       8.738837062445e+42       3.511370374088e-08       1.753290482000e+43       6.424939254021e+43       1.445060946526e-17       1.999999999967e+00 
       6.051710164830e+13       2.063100134647e-25       7.656126399525e-09       7.904521259379e+21       1.418607626259e+04       2.344143370420e-10       8.585002191737e+17       4.420200007181e-09       3.693262811410e+43       5.486848513022e+32       2.934539204717e+33       8.498372432663e+42       3.511370374088e-08       1.705045578972e+43       6.248145633997e+43       1.465362607763e-17       1.999999999966e+00 
