# Table of selected background quantitites
# All densities are mutiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:lum. dist.gw           9:comov.snd.hrz.        10:(.)rho_g              11:(.)rho_b              12:(.)rho_cdm            13:(.)rho_ncdm[0]        14:(.)rho_ur             15:(.)rho_crit           16:U                     17:U_prime               18:V                     19:V_prime               20:gr.fac. D             21:gr.fac. f          
       7.565213307992e+13       1.320182599112e-25       6.124537321739e-09       1.235269945648e+22       1.416938464321e+04       1.872965647677e-10       1.071944172689e+18       1.071944172689e+18       3.535889426641e-09       9.019499604785e+43       1.069967746273e+33       5.766552869379e+33       6.226288572877e+43       1.313020785965e+41       1.525891838621e+44       3.984043459178e-12       4.693072515313e-03       5.662461635420e-66       1.551266005298e-56       9.376885528094e-18       1.999999999982e+00 
       7.512624933457e+13       1.338729844447e-25       6.166374078020e-09       1.218156071006e+22       1.416938464321e+04       1.886076407210e-10       1.064492723624e+18       1.064492723624e+18       3.560640652627e-09       8.771312046443e+43       1.047809362290e+33       5.647131052056e+33       6.054961179325e+43       1.276890685938e+41       1.483904213330e+44       4.187108897655e-12       4.780084011126e-03       6.357825756236e-66       1.694215089148e-56       9.508621392877e-18       1.999999999981e+00 
       7.460402118627e+13       1.357537660031e-25       6.210029823706e-09       1.201279298147e+22       1.416938464321e+04       1.899278942061e-10       1.057093072119e+18       1.057093072119e+18       3.585565137195e-09       8.529953809772e+43       1.026109865019e+33       5.530182388239e+33       5.888348163437e+43       1.241754769812e+41       1.443071952156e+44       4.395325955480e-12       4.865888657813e-03       7.121901292761e-66       1.847113355423e-56       9.642208014825e-18       1.999999999981e+00 
       7.408542322370e+13       1.376609706617e-25       6.253685569391e-09       1.184636342176e+22       1.416938464321e+04       1.912573894655e-10       1.049744858112e+18       1.049744858112e+18       3.610664093155e-09       8.295236973852e+43       1.004859751194e+33       5.415655660418e+33       5.726319800735e+43       1.207585680851e+41       1.403363263204e+44       4.608704756949e-12       4.950503829990e-03       7.960051491053e-66       2.010470400498e-56       9.777671395223e-18       1.999999999980e+00 
       7.357043021222e+13       1.395949696385e-25       6.297341315076e-09       1.168223963710e+22       1.416938464321e+04       1.925961911918e-10       1.042447724044e+18       1.042447724044e+18       3.635938741807e-09       8.066978788740e+43       9.840497143552e+32       5.303500711766e+33       5.568749936341e+43       1.174356815087e+41       1.364747229386e+44       4.827255667014e-12       5.033948104085e-03       8.877969807501e-66       2.184815824373e-56       9.915037900654e-18       1.999999999980e+00 
       7.305901709257e+13       1.415561393670e-25       6.340997060761e-09       1.152038968245e+22       1.416938464321e+04       1.939443645301e-10       1.035201314840e+18       1.035201314840e+18       3.661390312999e-09       7.845001533182e+43       9.636706407757e+32       5.193668424171e+33       5.415515886751e+43       1.142042300610e+41       1.327193784355e+44       5.050989382428e-12       5.116235623158e-03       9.881696643509e-66       2.370699936407e-56       1.005433426812e-17       1.999999999979e+00 
       7.255115897971e+13       1.435448615689e-25       6.386471795850e-09       1.136078205536e+22       1.416938464321e+04       1.953019750818e-10       1.028005277895e+18       1.028005277895e+18       3.687020045190e-09       7.629132376241e+43       9.437136054671e+32       5.086110696732e+33       5.266498344316e+43       1.110616977418e+41       1.290673689093e+44       5.279916738706e-12       5.197383494193e-03       1.097763684029e-65       2.568694482820e-56       1.019558761025e-17       1.999999999979e+00 
       7.204683116158e+13       1.455615233291e-25       6.430127541535e-09       1.120338568980e+22       1.416938464321e+04       1.966690889074e-10       1.020859263053e+18       1.020859263053e+18       3.712829185506e-09       7.419203242731e+43       9.241698682725e+32       4.980780424683e+33       5.121581284350e+43       1.080056377833e+41       1.255158509145e+44       5.514048920448e-12       5.277407448003e-03       1.217257796395e-65       2.779393395554e-56       1.033882542058e-17       1.999999999978e+00 
       7.154600909790e+13       1.476065171703e-25       6.475602276623e-09       1.104816995018e+22       1.416938464321e+04       1.980457725298e-10       1.013762922595e+18       1.013762922595e+18       3.738818989805e-09       7.215050682352e+43       9.050308700382e+32       4.877631478774e+33       4.980651874792e+43       1.050336707448e+41       1.220620592480e+44       5.753397301931e-12       5.356322603060e-03       1.347370941612e-65       3.003413570791e-56       1.048407557892e-17       1.999999999977e+00 
       7.104866841896e+13       1.496802411300e-25       6.521077011712e-09       1.089510462530e+22       1.416938464321e+04       1.994320929375e-10       1.006715911216e+18       1.006715911216e+18       3.764990722733e-09       7.016515742429e+43       8.862882288655e+32       4.776618685061e+33       4.843600388355e+43       1.021434826603e+41       1.187033047962e+44       5.997973539477e-12       5.434144429623e-03       1.488864240379e-65       3.241395667450e-56       1.063136635672e-17       1.999999999977e+00 
