#tensor perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:shear_g                5:l4_g                   6:pol0_g                 7:pol2_g                 8:pol4_g                 9:H (gw)                10:Hdot (gwdot)          11:delta_ur              12:shear_ur              13:l4_ur              
       2.300314774921e+02       7.024176795929e-04      -7.236820231177e-03      -9.978769575752e-08      -7.005999715927e-12       1.679684262895e-03       4.670455546506e-08       1.646382039900e-12       1.571555456843e-01      -1.559960960571e-03      -5.114331682985e-01      -1.965505552909e-02      -1.540696429224e-03 
       2.301824128617e+02       7.030138059145e-04      -7.263343861091e-03      -1.008783351768e-07      -7.127068908902e-12       1.684866057621e-03       4.719584168306e-08       1.674521810322e-12       1.569201155375e-01      -1.559654094051e-03      -5.117697677443e-01      -1.969909632379e-02      -1.546373751231e-03 
       2.303340058313e+02       7.036127080046e-04      -7.290208797086e-03      -1.019911201287e-07      -7.251373940905e-12       1.690105781866e-03       4.769659544855e-08       1.703387242901e-12       1.566837064091e-01      -1.559344203631e-03      -5.121073618307e-01      -1.974338858221e-02      -1.552092476290e-03 
       2.304862654090e+02       7.042144237966e-04      -7.317420944643e-03      -1.031266355106e-07      -7.379024186696e-12       1.695404519191e-03       4.820706650246e-08       1.733002755465e-12       1.564463051227e-01      -1.559031249786e-03      -5.124459636572e-01      -1.978793571954e-02      -1.557853198152e-03 
       2.306392007630e+02       7.048189919101e-04      -7.344986332743e-03      -1.042854849779e-07      -7.510133395725e-12       1.700763368422e-03       4.872751219123e-08       1.763393720374e-12       1.562078982729e-01      -1.558715192185e-03      -5.127855865188e-01      -1.983274121542e-02      -1.563656522567e-03 
       2.307928212254e+02       7.054264516661e-04      -7.372911117719e-03      -1.054682916702e-07      -7.644819896863e-12       1.706183444242e-03       4.925819776035e-08       1.794586508633e-12       1.559684722202e-01      -1.558395989677e-03      -5.131262439099e-01      -1.987780861554e-02      -1.569503067592e-03 
       2.309471362956e+02       7.060368431044e-04      -7.401201587242e-03      -1.066756989693e-07      -7.783206813939e-12       1.711665877805e-03       4.979939666076e-08       1.826608536312e-12       1.557280130859e-01      -1.558073600267e-03      -5.134679495286e-01      -1.992314153323e-02      -1.575393463913e-03 
       2.311021556450e+02       7.066502070008e-04      -7.429864164456e-03      -1.079083712933e-07      -7.925422292843e-12       1.717211817360e-03       5.035139086894e-08       1.859488313425e-12       1.554865067460e-01      -1.557747981092e-03      -5.138107172804e-01      -1.996874365116e-02      -1.581328355172e-03 
       2.312578891204e+02       7.072665848849e-04      -7.458905412265e-03      -1.091669949259e-07      -8.071599740737e-12       1.722822428897e-03       5.091447122093e-08       1.893255495379e-12       1.552439388258e-01      -1.557419088406e-03      -5.141545612828e-01      -2.001461872305e-02      -1.587308398316e-03 
       2.314143467489e+02       7.078860190588e-04      -7.488332037755e-03      -1.104522788837e-07      -8.221878078149e-12       1.728498896801e-03       5.148893776113e-08       1.927940937167e-12       1.550002946938e-01      -1.557086877549e-03      -5.144994958695e-01      -2.006077057547e-02      -1.593334263942e-03 
       2.315715387417e+02       7.085085526156e-04      -7.518150896783e-03      -1.117649558238e-07      -8.376402004735e-12       1.734242424525e-03       5.207510010663e-08       1.963576750453e-12       1.547555594556e-01      -1.556751302930e-03      -5.148455355950e-01      -2.010720310968e-02      -1.599406636667e-03 
       2.317294754991e+02       7.091342294595e-04      -7.548368998722e-03      -1.131057829934e-07      -8.535322279553e-12       1.740054235282e-03       5.267327782787e-08       2.000196363743e-12       1.545097179478e-01      -1.556412317997e-03      -5.151926952392e-01      -2.015392030350e-02      -1.605526215498e-03 
       2.318881676149e+02       7.097630943257e-04      -7.578993511380e-03      -1.144755432234e-07      -8.698796016732e-12       1.745935572749e-03       5.328380084650e-08       2.037834585813e-12       1.542627547312e-01      -1.556069875213e-03      -5.155409898117e-01      -2.020092621329e-02      -1.611693714228e-03 
       2.320476258810e+02       7.103951928010e-04      -7.610031766083e-03      -1.158750459684e-07      -8.866986997442e-12       1.751887701797e-03       5.390700985106e-08       2.076527672589e-12       1.540146540845e-01      -1.555723926033e-03      -5.158904345574e-01      -2.024822497594e-02      -1.617909861829e-03 
       2.322078612928e+02       7.110305713455e-04      -7.641491262953e-03      -1.173051283962e-07      -9.040065999254e-12       1.757911909235e-03       5.454325673184e-08       2.116313397709e-12       1.537653999971e-01      -1.555374420873e-03      -5.162410449604e-01      -2.029582081094e-02      -1.624175402871e-03 
       2.323688850538e+02       7.116692773145e-04      -7.673379676380e-03      -1.187666565295e-07      -9.218211144042e-12       1.764009504578e-03       5.519290503599e-08       2.157231126995e-12       1.535149761625e-01      -1.555021309086e-03      -5.165928367501e-01      -2.034371802259e-02      -1.630491097951e-03 
       2.325307085812e+02       7.123113589821e-04      -7.705704860710e-03      -1.202605264422e-07      -9.401608265488e-12       1.770181820840e-03       5.585633044365e-08       2.199321897084e-12       1.532633659701e-01      -1.554664538932e-03      -5.169458259061e-01      -2.039192100216e-02      -1.636857724136e-03 
       2.326933435116e+02       7.129568655642e-04      -7.738474856119e-03      -1.217876655128e-07      -9.590451297440e-12       1.776430215345e-03       5.653392126624e-08       2.242628498437e-12       1.530105524984e-01      -1.554304057545e-03      -5.173000286636e-01      -2.044043423024e-02      -1.643276075428e-03 
       2.328568017060e+02       7.136058472437e-04      -7.771697894718e-03      -1.233490337387e-07      -9.784942684453e-12       1.782756070561e-03       5.722607896809e-08       2.287195563045e-12       1.527565185067e-01      -1.553939810908e-03      -5.176554615195e-01      -2.048926227913e-02      -1.649746963234e-03 
       2.330210952562e+02       7.142583551952e-04      -7.805382406883e-03      -1.249456251146e-07      -9.985293815975e-12       1.789160794965e-03       5.793321871274e-08       2.333069657098e-12       1.525012464271e-01      -1.553571743816e-03      -5.180121412373e-01      -2.053840981521e-02      -1.656271216864e-03 
       2.331862364903e+02       7.149144416113e-04      -7.839537027815e-03      -1.265784690781e-07      -1.019172548566e-11       1.795645823927e-03       5.865576993520e-08       2.380299378956e-12       1.522447183564e-01      -1.553199799843e-03      -5.183700848538e-01      -2.058788160159e-02      -1.662849684031e-03 
       2.333522379793e+02       7.155741597291e-04      -7.874170604341e-03      -1.282486320259e-07      -1.040446837738e-11       1.802212620618e-03       5.939417694129e-08       2.428935462727e-12       1.519869160474e-01      -1.552823921313e-03      -5.187293096845e-01      -2.063768250059e-02      -1.669483231384e-03 
       2.335191125432e+02       7.162375638583e-04      -7.909292201995e-03      -1.299572189066e-07      -1.062376357989e-11       1.808862676958e-03       6.014889953635e-08       2.479030887867e-12       1.517278209001e-01      -1.552444049262e-03      -5.190898333301e-01      -2.068781747654e-02      -1.676172745048e-03 
       2.336868732576e+02       7.169047094099e-04      -7.944911112370e-03      -1.317053748934e-07      -1.084986313195e-11       1.815597514583e-03       6.092041368452e-08       2.530640995183e-12       1.514674139526e-01      -1.552060123398e-03      -5.194516736830e-01      -2.073829159856e-02      -1.682919131193e-03 
       2.338555334610e+02       7.175756529264e-04      -7.981036860761e-03      -1.334942871401e-07      -1.108303059991e-11       1.822418685854e-03       6.170921220031e-08       2.583823609623e-12       1.512056758711e-01      -1.551672082072e-03      -5.198148489340e-01      -2.078911004347e-02      -1.689723316620e-03 
       2.340251067612e+02       7.182504521123e-04      -8.017679214094e-03      -1.353251866269e-07      -1.132354168981e-11       1.829327774886e-03       6.251580547400e-08       2.638639170332e-12       1.509425869408e-01      -1.551279862230e-03      -5.201793775789e-01      -2.084027809880e-02      -1.696586249371e-03 
       2.341956070434e+02       7.189291658660e-04      -8.054848189169e-03      -1.371993500991e-07      -1.157168489647e-11       1.836326398620e-03       6.334072223303e-08       2.695150868419e-12       1.506781270552e-01      -1.550883399377e-03      -5.205452784259e-01      -2.089180116588e-02      -1.703508899352e-03 
       2.343670484770e+02       7.196118543129e-04      -8.092554061227e-03      -1.391181021067e-07      -1.182776219197e-11       1.843416207927e-03       6.418451034142e-08       2.753424792996e-12       1.504122757060e-01      -1.550482627535e-03      -5.209125706024e-01      -2.094368476306e-02      -1.710492258988e-03 
       2.345394455238e+02       7.202985788389e-04      -8.130807372841e-03      -1.410828171469e-07      -1.209208975619e-11       1.850598888741e-03       6.504773763892e-08       2.813530085969e-12       1.501450119721e-01      -1.550077479197e-03      -5.212812735628e-01      -2.099593452903e-02      -1.717537343895e-03 
