#scalar perturbations for mode k = 1.039140000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ncdm[0]         19:theta_ncdm[0]         20:shear_ncdm[0]      
       2.252829451452e+02       6.837537043786e-04      -2.535997342863e+00       4.352760052066e-03       1.961589384415e-03       4.619790498853e-03       1.214723243610e-05       9.240115443799e-04      -1.902618753858e+00       4.370816672705e-03       5.458398667945e-01       5.727950666205e-01      -2.386045194137e+00       2.455615017555e-03       1.163947707767e-01      -2.026443969835e+00       6.256725353135e-03      -2.381227410509e+00       2.468326611044e-03       1.160145357259e-01 
       2.259486917184e+02       6.863598208707e-04      -2.541401488963e+00       4.355278679399e-03       1.990778210520e-03       4.677585073318e-03       1.247379259144e-05       9.355726182436e-04      -1.906684021798e+00       4.373750477824e-03       5.455965563317e-01       5.724102556569e-01      -2.389758847926e+00       2.443551968436e-03       1.166353935233e-01      -2.031768922423e+00       6.272122473264e-03      -2.384900993813e+00       2.456457472300e-03       1.162528067060e-01 
       2.266253273468e+02       6.890120995799e-04      -2.546894735422e+00       4.357779193545e-03       2.021696134775e-03       4.738484381572e-03       1.282364873031e-05       9.477548255144e-04      -1.910816603100e+00       4.376690938672e-03       5.453489252130e-01       5.720195394008e-01      -2.393520669193e+00       2.431187766870e-03       1.168765050014e-01      -2.037190302140e+00       6.287754011931e-03      -2.388621690844e+00       2.444293444918e-03       1.164915364647e-01 
       2.275581587614e+02       6.926744604775e-04      -2.554468950666e+00       4.361128060969e-03       2.066460383885e-03       4.826145564117e-03       1.333751641927e-05       9.652905670995e-04      -1.916515200450e+00       4.380677614791e-03       5.449751367935e-01       5.714815336657e-01      -2.398685856982e+00       2.413971279146e-03       1.172031753861e-01      -2.044679774303e+00       6.309275355793e-03      -2.394203238785e+00       2.425773598543e-03       1.168446756907e-01 
       2.276991567767e+02       6.932286179311e-04      -2.555613894246e+00       4.361624319939e-03       2.073447842378e-03       4.839778815987e-03       1.341851742731e-05       9.680177763809e-04      -1.917376671593e+00       4.381273455081e-03       5.449232691556e-01       5.714002795766e-01      -2.399464447398e+00       2.411351837750e-03       1.172519708141e-01      -2.045813361008e+00       6.312525415818e-03      -2.394974440987e+00       2.423188819869e-03       1.168929918318e-01 
       2.278406799882e+02       6.937849951989e-04      -2.556763126325e+00       4.362119790963e-03       2.080520790851e-03       4.853565736116e-03       1.350072731260e-05       9.707757294193e-04      -1.918241383586e+00       4.381869770849e-03       5.448711921432e-01       5.713187402810e-01      -2.400245372504e+00       2.408718120166e-03       1.173007940642e-01      -2.046951578555e+00       6.315786815008e-03      -2.395747945491e+00       2.420589970484e-03       1.169413347279e-01 
       2.279827352352e+02       6.943436209165e-04      -2.557916702096e+00       4.362614467739e-03       2.087680594498e-03       4.867508721520e-03       1.358417017074e-05       9.735649058574e-04      -1.919109378246e+00       4.382466574196e-03       5.448189030383e-01       5.712369120620e-01      -2.401028662725e+00       2.406069952680e-03       1.173496455901e-01      -2.048094486343e+00       6.319059702365e-03      -2.396523780928e+00       2.417976877903e-03       1.169897047552e-01 
       2.281253294714e+02       6.949045242061e-04      -2.559074677674e+00       4.363108343364e-03       2.094928646042e-03       4.881610209738e-03       1.366887067064e-05       9.763857934494e-04      -1.919980698089e+00       4.383063878101e-03       5.447663990815e-01       5.711547911416e-01      -2.401814348956e+00       2.403407158478e-03       1.173985258441e-01      -2.049242144783e+00       6.322344229339e-03      -2.397301976948e+00       2.415349367158e-03       1.170381023155e-01 
       2.282684697672e+02       6.954677346863e-04      -2.560237110110e+00       4.363601410413e-03       2.102266366399e-03       4.895872679955e-03       1.375485407204e-05       9.792388882861e-04      -1.920855386343e+00       4.383661696243e-03       5.447136774715e-01       5.710723736792e-01      -2.402602462579e+00       2.400729557577e-03       1.174474352777e-01      -2.050394615320e+00       6.325640549881e-03      -2.398082564260e+00       2.412707260748e-03       1.170865278379e-01 
       2.284121633120e+02       6.960332824837e-04      -2.561404057415e+00       4.364093660987e-03       2.109695205388e-03       4.910298654145e-03       1.384214624372e-05       9.821246950235e-04      -1.921733486967e+00       4.384260042867e-03       5.446607353637e-01       5.709896557708e-01      -2.403393035469e+00       2.398036966753e-03       1.174963743406e-01      -2.051551960457e+00       6.328948820498e-03      -2.398865574669e+00       2.410050378601e-03       1.171349817797e-01 
